# Auto-generated by scripts/build_char_frequency_from_wordlists.py
# Format: <char>\t<weight>  (corpus count + general-rank bonus)
不	5623
大	4810
一	4795
人	4551
地	4464
之	4353
子	4272
有	4213
生	4172
为	4113
中	4107
天	4096
水	4055
面	4055
出	4054
以	4047
上	4033
时	4020
成	4007
分	4005
国	4003
在	3992
三	3982
是	3970
来	3970
可	3964
动	3963
和	3963
而	3963
发	3954
了	3953
心	3951
如	3942
的	3941
下	3929
作	3901
行	3898
年	3892
我	3892
用	3888
学	3885
对	3863
于	3860
同	3860
量	3860
这	3857
要	3847
个	3841
方	3839
力	3828
定	3821
高	3818
他	3817
到	3814
多	3810
会	3800
自	3796
过	3796
能	3795
法	3791
就	3790
主	3786
工	3781
度	3781
们	3775
后	3764
说	3744
得	3743
家	3731
经	3729
所	3721
无	3721
电	3712
里	3706
小	3704
也	3694
民	3687
十	3682
产	3680
日	3667
理	3664
种	3664
二	3662
化	3655
点	3653
物	3651
体	3634
进	3634
等	3630
机	3597
相	3595
起	3580
着	3577
部	3574
合	3564
加	3548
当	3544
好	3543
实	3543
两	3537
制	3534
然	3533
平	3528
开	3518
本	3511
线	3500
其	3497
现	3492
从	3482
业	3470
去	3467
性	3464
外	3461
都	3456
事	3455
应	3452
使	3445
四	3444
数	3440
前	3438
重	3414
把	3402
正	3397
形	3396
因	3390
明	3380
还	3377
全	3373
由	3373
义	3369
它	3359
道	3359
新	3350
间	3350
气	3349
表	3347
月	3336
些	3330
政	3327
关	3320
系	3319
那	3303
社	3301
利	3296
与	3288
内	3288
样	3288
意	3287
反	3283
变	3259
各	3257
图	3255
头	3253
比	3246
原	3243
山	3234
向	3230
你	3226
质	3224
看	3216
情	3210
公	3192
果	3191
命	3185
么	3184
解	3169
条	3165
又	3162
文	3160
结	3158
或	3152
此	3142
但	3138
第	3138
立	3136
问	3136
没	3124
五	3123
只	3107
通	3105
位	3081
长	3078
建	3076
军	3069
者	3060
代	3059
直	3059
程	3054
入	3034
想	3031
最	3028
很	3026
提	3023
流	3022
已	3021
常	3020
并	3018
题	3002
料	3000
老	2998
象	2992
党	2979
展	2975
基	2955
式	2955
知	2949
海	2945
员	2944
见	2941
品	2939
手	2934
特	2933
革	2933
活	2929
次	2926
路	2925
及	2923
求	2920
管	2915
光	2911
总	2911
角	2911
设	2907
件	2885
风	2885
边	2882
西	2870
干	2869
花	2860
计	2859
统	2850
少	2848
接	2847
色	2844
别	2836
金	2833
将	2830
资	2828
论	2819
级	2818
期	2805
百	2796
指	2781
根	2781
较	2780
九	2770
组	2770
强	2766
运	2761
门	2752
区	2750
南	2747
放	2736
几	2735
她	2733
油	2730
口	2719
回	2718
决	2709
农	2708
先	2705
白	2696
战	2694
处	2690
必	2688
取	2684
做	2676
被	2670
据	2666
东	2664
任	2657
则	2653
北	2649
世	2637
保	2634
七	2611
热	2609
队	2604
给	2601
治	2598
器	2596
清	2589
即	2580
规	2580
造	2577
导	2571
志	2561
交	2548
思	2548
极	2547
领	2544
争	2518
压	2517
安	2513
济	2513
增	2499
万	2497
车	2483
改	2477
六	2470
受	2470
术	2468
美	2466
阶	2466
马	2464
什	2460
收	2458
共	2454
目	2451
联	2449
转	2447
权	2441
打	2439
己	2435
身	2435
认	2432
带	2419
证	2416
单	2413
采	2408
更	2385
切	2383
再	2381
速	2375
声	2372
真	2360
教	2359
场	2350
八	2347
米	2337
名	2334
离	2312
达	2309
至	2306
务	2299
积	2298
例	2297
斗	2294
走	2290
空	2288
具	2279
报	2266
才	2263
华	2252
每	2250
类	2245
信	2242
议	2242
示	2240
节	2229
完	2212
科	2212
土	2207
张	2204
影	2199
石	2193
确	2176
步	2175
今	2169
话	2169
元	2167
传	2148
千	2143
温	2143
群	2141
整	2138
集	2138
拉	2132
广	2118
观	2112
况	2109
林	2097
许	2085
界	2078
酸	2078
记	2077
书	2061
段	2054
研	2051
需	2047
律	2043
深	2042
难	2039
众	2027
装	2027
叫	2023
越	2021
布	2018
且	2015
低	2012
究	2011
非	2011
音	2010
复	2009
容	2008
算	2008
织	1998
持	1996
儿	1992
断	1989
连	1989
际	1977
青	1949
须	1947
半	1944
素	1944
近	1940
商	1932
验	1931
周	1916
市	1915
矿	1902
感	1877
备	1875
委	1871
技	1863
省	1858
办	1848
克	1845
约	1840
支	1833
列	1832
习	1830
劳	1829
响	1829
团	1829
标	1828
太	1823
往	1822
史	1806
精	1802
般	1799
何	1798
红	1797
便	1796
历	1795
准	1792
消	1768
除	1758
片	1754
构	1749
号	1742
称	1739
斯	1738
毛	1733
率	1727
眼	1725
值	1723
府	1723
维	1716
存	1701
火	1701
江	1692
族	1689
划	1687
快	1685
亲	1684
选	1678
龙	1672
写	1662
型	1660
效	1657
格	1650
包	1646
候	1643
王	1639
养	1634
查	1626
易	1620
院	1620
置	1619
层	1606
圆	1596
按	1593
参	1591
状	1585
始	1570
派	1570
满	1554
识	1552
专	1549
却	1544
调	1540
飞	1532
京	1527
育	1527
厂	1521
照	1521
适	1518
属	1508
铁	1501
引	1499
住	1489
局	1476
细	1473
听	1472
县	1468
背	1457
价	1445
景	1444
严	1431
该	1420
杯	1410
贝	1410
悲	1406
测	1404
倍	1390
饼	1385
卑	1376
碑	1366
苯	1355
辈	1352
笔	1347
惫	1341
焙	1338
狈	1334
钡	1327
笨	1323
绷	1312
鼻	1309
泵	1308
逼	1306
蹦	1305
迸	1297
碧	1292
鄙	1288
彼	1286
蔽	1274
毕	1273
闭	1270
毙	1256
壁	1255
币	1251
敝	1244
庇	1242
避	1240
弊	1239
痹	1238
冰	1237
菜	1224
编	1221
辟	1221
鞭	1214
陛	1201
扁	1198
兵	1196
贬	1190
辨	1189
辩	1181
卞	1176
遍	1171
辫	1163
波	1161
彪	1154
膘	1147
鳖	1147
憋	1136
宾	1132
彬	1132
病	1132
瘪	1131
斌	1123
丙	1119
滨	1119
菠	1104
柄	1098
秉	1095
博	1091
炳	1080
玻	1076
茶	1076
播	1070
拨	1066
勃	1065
卜	1060
钵	1053
补	1052
脖	1027
膊	1023
渤	1018
驳	1016
捕	1014
彩	1012
差	1008
草	1007
哺	1006
财	1000
擦	993
簿	990
埠	988
材	988
裁	981
怖	976
猜	972
餐	969
残	965
踩	946
藏	943
蚕	938
蔡	932
惨	931
苍	926
惭	915
灿	905
操	902
仓	901
沧	894
舱	891
糙	867
策	865
槽	864
炒	863
曹	860
侧	850
厕	848
册	839
叉	835
插	832
察	823
肠	823
蹭	822
茬	806
岔	793
拆	787
柴	783
诧	781
缠	773
馋	769
昌	768
朝	768
潮	766
铲	759
尝	750
猖	748
偿	747
唱	740
星	734
畅	732
敞	727
抄	715
巢	712
钞	709
沉	708
